esterel
Problem, Total, Successes, Failures, Replans, Replans_std_dev, Actions, Actions_std_dev,
m3_p1, 2000, 331, 1669, 8.6775, 3.06254523912, 15.6815, 7.29840332508, 
m3_p2, 2000, 294, 1706, 8.904, 2.72516004092, 16.8415, 7.97936168227, 
m3_p3, 2000, 317, 1683, 8.93, 2.60278451732, 18.094, 8.80749396679, 
m3_p4, 2000, 336, 1664, 8.9565, 2.46893814783, 19.5995, 9.6515115701, 
m3_p5, 2000, 169, 1831, 9.306, 2.33239877423, 13.542, 6.35644855396, 
m3_p6, 2000, 74, 1926, 9.679, 1.66833769823, 12.5615, 5.22301231847, 
m3_p7, 2000, 57, 1943, 9.757, 1.44775654013, 12.5685, 5.08401724679, 
m3_p8, 2000, 47, 1953, 9.7995, 1.32331981685, 12.1505, 5.01292474083, 
adaptable
Problem, Total, Successes, Failures, Replans, Replans_std_dev, Actions, Actions_std_dev,
m3_p1, 2000, 437, 1563, 7.815, 4.13331793582, 8.853, 7.38570682688, 
m3_p2, 2000, 397, 1603, 8.016, 3.98781836944, 10.03, 8.91654935646, 
m3_p3, 2000, 458, 1542, 7.71, 4.202943298, 11.669, 10.0638004273, 
m3_p4, 2000, 425, 1575, 7.875, 4.09179011842, 13.24, 11.6811653876, 
m3_p5, 2000, 184, 1816, 9.0805, 2.88949724817, 6.055, 5.51952965422, 
m3_p6, 2000, 93, 1907, 9.535, 2.1061797161, 4.1755, 3.86926160174, 
m3_p7, 2000, 75, 1925, 9.625, 1.90031065626, 3.989, 3.70766130818, 
m3_p8, 2000, 60, 1940, 9.7, 1.70629883897, 3.6315, 3.35474811535, 
