esterel, 
Problem, Actions, Actions_std_dev, 
m3_p1, 14.2893948472, 6.64765975882, 
m3_p2, 15.3874560375, 7.24643269742, 
m3_p3, 16.1021984551, 7.42454800771, 
m3_p4, 17.2710336538, 8.21818978295, 
m3_p5, 12.7968323321, 5.86600941553, 
m3_p6, 12.3156801661, 5.08433123769, 
m3_p7, 12.3746783325, 4.97197264001, 
m3_p8, 11.9831029186, 4.85709945976, 
adaptable, 
Problem, Actions, Actions_std_dev, 
m3_p1, 6.8330134357, 6.03327396118, 
m3_p2, 7.94884591391, 7.26585422068, 
m3_p3, 9.27172503243, 8.4204545007, 
m3_p4, 10.7949206349, 10.0850499947, 
m3_p5, 5.33810572687, 4.84403601293, 
m3_p6, 3.89459884636, 3.61207999829, 
m3_p7, 3.75168831169, 3.46869778906, 
m3_p8, 3.46340206186, 3.20523694303, 
