esterel
Problem, Replans, Replans_std_dev, Actions, Actions_std_dev, 
m3_p1, 2.03381642512, 1.87311495537, 22.9082125604, 6.53045740925, 
m3_p2, 2.50279329609, 1.8155826801, 25.3072625698, 6.74665983053, 
m3_p3, 3.26168224299, 2.15082230633, 28.8457943925, 8.23136997792, 
m3_p4, 3.95045045045, 2.04525159695, 31.7972972973, 7.68493807427, 
m3_p5, 2.61802575107, 1.61445658735, 24.9527896996, 5.6581773298, 
m3_p6, 3.02068965517, 1.74847780612, 27.7586206897, 6.91449675495, 
m3_p7, 3.6963562753, 1.99515307271, 30.6437246964, 7.54611186997, 
m3_p8, 3.86666666667, 1.98567232053, 31.8294117647, 7.70147318639, 
adaptable
Problem, Replans, Replans_std_dev, Actions, Actions_std_dev, 
m3_p1, 0.0, 0.0, 16.2262773723, 7.53015204058, 
m3_p2, 0.00371747211896, 0.060971076085, 18.3457249071, 9.99306617514, 
m3_p3, 0.0, 0.0, 19.6643598616, 10.8753101658, 
m3_p4, 0.0, 0.0, 21.6903914591, 12.3681711399, 
m3_p5, 0.00166666666667, 0.0408248290464, 18.1333333333, 7.88897641038, 
m3_p6, 0.0, 0.0, 20.7389770723, 10.1446576488, 
m3_p7, 0.00344827586207, 0.0586712901736, 23.9620689655, 12.2592297553, 
m3_p8, 0.0122807017544, 0.293197735804, 27.7105263158, 13.9984456106, 
