esterel, 
Problem, Actions, Actions_std_dev, 
m3_p1, 6.48337028825, 3.037912595, 
m3_p2, 6.33538732394, 2.93200739065, 
m3_p3, 6.36581196581, 2.88464156413, 
m3_p4, 6.21603927987, 2.89552814442, 
m3_p5, 6.05524419536, 2.79668819574, 
m3_p6, 5.97167584579, 2.73458173549, 
m3_p7, 8.51966626937, 4.00528074848, 
m3_p8, 7.50810810811, 3.44758864607, 
m3_p9, 6.64484451718, 3.22458087233, 
m3_p10, 5.91444270016, 3.06202884114, 
adaptable, 
Problem, Actions, Actions_std_dev, 
m3_p1, 3.66120906801, 2.9390327134, 
m3_p2, 3.09970089731, 2.55479469984, 
m3_p3, 2.99703849951, 2.48214794372, 
m3_p4, 2.7311627907, 2.31006744251, 
m3_p5, 2.5216989843, 2.15958510637, 
m3_p6, 2.52677787533, 2.30532608561, 
m3_p7, 4.82597402597, 3.90702753184, 
m3_p8, 3.89107981221, 3.14190768313, 
m3_p9, 3.16234309623, 2.49799005288, 
m3_p10, 2.72975140337, 2.28750640921, 
