esterel
Problem, Replans, Replans_std_dev, Actions, Actions_std_dev, 
m3_p1, 0.279742765273, 0.728813395784, 10.7491961415, 1.80540166118, 
m3_p2, 0.295081967213, 1.36700373363, 10.7786885246, 3.38412970514, 
m3_p3, 0.215053763441, 1.66753246299, 10.5913978495, 4.16501799713, 
m3_p4, 0.206896551724, 2.1919344973, 10.5344827586, 5.47767497468, 
m3_p5, 0.0681818181818, 2.62976684324, 10.2045454545, 6.58791942108, 
m3_p6, 0.173913043478, 3.58875868011, 10.5217391304, 8.97546348864, 
m3_p7, 1.69444444444, 2.66018948935, 14.8916666667, 7.55986603033, 
m3_p8, 1.55405405405, 4.18025650603, 14.3918918919, 11.6329848093, 
m3_p9, 1.5, 7.0138004125, 14.1481481481, 19.2248967762, 
m3_p10, 1.0, 11.0352969048, 12.7894736842, 30.3702529169, 
adaptable
Problem, Replans, Replans_std_dev, Actions, Actions_std_dev, 
m3_p1, 0.0, 0.0, 10.1176470588, 2.5693400506, 
m3_p2, 0.0, 0.0, 10.0299145299, 4.33292037393, 
m3_p3, 0.0, 0.0, 9.94761904762, 5.21714648357, 
m3_p4, 0.00568181818182, 0.0763927646209, 9.67045454545, 6.09976550104, 
m3_p5, 0.0, 0.077151674981, 9.44378698225, 6.56138286773, 
m3_p6, 0.0, 0.0936585811582, 9.45217391304, 8.27917438825, 
m3_p7, 0.0, 0.05, 14.1770573566, 10.0186828402, 
m3_p8, 0.00555555555556, 0.106641963827, 13.0444444444, 13.5707848633, 
m3_p9, 0.0, 0.162221421131, 12.4415584416, 20.0551289228, 
m3_p10, 0.0, 0.22086305215, 10.9047619048, 26.0733576045, 
